model,term,estimate,std.error,statistic,p.value
Model 1,(Intercept),0.6879909160530592,0.08817666518987852,7.802414783679426,4.63404168848069e-14
Model 1,pct_bachelors,0.009103159669697247,8.641833796879393e-4,10.533828679954988,3.052675526421794e-23
Model 1,pct_households_internet,-0.0012815435264377534,9.579331216681324e-4,-1.3378215007391017,0.1816600830387663
Model 1,pct_limited_english,-0.012180035360898345,0.0017094784172646939,-7.125000958121134,4.402297746224063e-12
Model 1,pct_disability_total,0.0055484175433200104,0.0014671148348097882,3.781856342580957,1.7763722611289907e-4
Model 1,pct_poverty,-0.00875717706391688,0.0010568613484620761,-8.286022643045989,1.4968472165879933e-15
Model 2,(Intercept),1.002191197554377,0.09040226722430166,11.08590778003155,2.764704511490983e-25
Model 2,pct_bachelors,0.005652067531027315,9.462613065200229e-4,5.973051515562227,4.8928081982051e-9
Model 2,pct_no_hs,-0.011348732674841041,0.0012847706981303898,-8.833274833677185,2.6269121853972217e-17
Model 2,pct_black,-0.002496794584727448,5.97462016766645e-4,-4.179001366881267,3.549833320302174e-5
Model 2,pct_households_internet,-0.0035920198794390495,9.140310887522441e-4,-3.929866197814522,9.904947873623463e-5
Model 2,pct_limited_english,0.0012693336820820498,0.002076849970686927,0.6111821749272588,0.5414026858440695
Model 2,pct_disability_total,0.0058080953925581545,0.0013287840224298186,4.370985272638554,1.5535879624138007e-5
Model 2,pct_poverty,-0.007167514965534756,0.0010498791710981386,-6.826990345982171,2.9731189582626447e-11
Model 3,(Intercept),0.8098344580696646,0.06114003887100797,13.245566620888763,9.105557233897578e-34
Model 3,pct_bachelors,0.004371561160044603,6.130906056819874e-4,7.13036722391429,4.332799250707097e-12
Model 3,pct_no_hs,-0.006182082716006155,8.795939278268528e-4,-7.028337191094265,8.370343923895344e-12
Model 3,pct_black,-0.0016594058680509582,3.932885759667119e-4,-4.219308592862384,2.9975641736289993e-5
Model 3,pct_households_internet,-0.0015693419321516466,6.164781774247538e-4,-2.545656909880152,0.011259417628128302
Model 3,pct_limited_english,-0.0015823876803252757,0.0013605867164103338,-1.163018616336432,0.24547453555400545
Model 3,pct_disability_total,0.004955502891313778,8.907352704443154e-4,5.5633846056661485,4.6892392077342095e-8
Model 3,pct_poverty,-0.008511043983969211,6.817557952784545e-4,-12.484006799667883,1.0950117448323279e-30
Model 4,(Intercept),0.7903979750215838,0.06084867938780277,12.989566626157881,1.1163623165002739e-32
Model 4,pct_bachelors,0.0052592503555348976,5.63014637246622e-4,9.341232017083676,5.596292984961782e-19
Model 4,pct_no_hs,-0.0066399092004874255,8.129336635785701e-4,-8.167836439763425,3.697836198770294e-15
Model 4,pct_black,-0.0021249108650163275,3.561589837337188e-4,-5.966186343919407,5.154799631938559e-9
Model 4,pct_hispanic,-1.5144148343540655e-4,5.678538257804942e-4,-0.26669096263859066,0.7898376893214499
Model 4,pct_ai_an,-0.002053508173444679,3.798480381288132e-4,-5.406130787355279,1.0810805599860775e-7
Model 4,pct_age_18_24,-0.006455252151455451,7.331869950645868e-4,-8.804373502133389,3.451616238634185e-17
Model 4,pct_age_65_plus,0.0014095116588016424,6.334664994408861e-4,2.225076874697737,0.026605280737679354
Model 4,pct_households_internet,-0.001083868372236755,5.901226552792591e-4,-1.8366832090590464,0.06696149451433712
Model 4,pct_limited_english,-3.7864393029366216e-4,0.0015501204920428649,-0.2442674180731956,0.8071427142916505
Model 4,pct_disability_total,5.157990368249683e-4,8.949420736167442e-4,0.576349075578111,0.5646872518632076
Model 4,pct_poverty,-0.0034131478375146068,7.375978984786842e-4,-4.62738281190106,4.937883097107121e-6
